ISBN;title;author;year;publisher
6382991;Inside Tibetan Buddhism/Rituals and Symbols Revealed: Rituals and Symbols Revealed (Signs of the Sacred);Robert A. F. Thurman;1995;HarperCollins
6383777;Sex and Dating: The Official Politically Correct Guide;Henry Beard;1994;Harpercollins
6383947;Criminal shadows: Inside the mind of the serial killer;David V Canter;1995;HarperCollins
6383963;Yves Saint Laurent;Alice Rawsthorn;Unknown;Harpercollins Publisher
6384447;Steven Spielberg: The Unauthorised Biography;John Baxter;1997;HarperCollins Publishers
6384617;The World's Best Lightbulb Jokes;Cathy Hopkins;1998;Trafalgar Square
6384684;Shaka's Children: A History of the Zulu People;Stephen Taylor;1996;Harpercollins
6384722;Last Flesh: Life in the Transhuman Era;Christopher Dewdney;1998;HarperCollins Canada
6384765;The Beginner's Guide to Investing : A Practical Guide to Putting Your Money to Work for You;Richard Croft;1997;HarperCollins Publishers
6384803;Shifting Gears : Thriving in the New Economy;Nuala Beck;1996;Harpercollins Canada
6384854;The Debt-Free Graduate: How to Survive College or University Without Going Broke;Murray Baker;1996;Harper Collins Canada
6385079;Riding the Tiger;Alistair Davidson;1998;HarperCollins Canada, Ltd.
6385176;The Debt-Free Graduate: How to Survive College or University Without Going Broke;Murray Baker;1999;HarperCollins Canada
6385192;Schoolyard Bully: How to Cope With Conflict and Raise an Assertive Child;Kim Zarzour;1999;HarperCollins Canada
6385214;The oatmeal ark: Across Canada by water;Rory MacLean;1996;HarperCollins
6385370;Freedom's Just Another Word;Dakota Hamilton;2000;HarperCollins Publishers
6385389;Death Dealers: A Witness to the Drug Wars That Are Bleeding America;Yves Lavigne;1999;HarperCollins Publishers
6385400;The Red Shoes : Margaret Atwood Starting Out;Rosemary Sullivan;1998;Harpercollins Canada
6385427;Girlfriend in a Coma;Douglas Coupland;1998;HarperCollins Publishers
6385583;The Red Shoes: Margaret Atwood Starting Out;Rosemary Sullivan;2000;HarperCollins Publishers
6385621;Leadership Wisdom from the Monk Who Sold His Ferrari: The 8 Rituals of Visionary Leaders;Robin Sharma;1998;HarperCollins Publishers
6385648;Hells Angels at War: The Alarming Story Behind the Headlines;Yves Lavigne;2000;HarperCollins Publishers
6385672;The Courage of Children: My Life with the World's Poorest Kids;Peter Dalglish;2001;HarperCollins Publishers
6385729;Island wings: A memoir;Cecil Foster;1998;HarperCollins
6385753;The Gift of Death: Confronting Canada's Tainted-Blood Tragedy;Andre Picard;1997;HarperCollins Publishers
6385826;Leaning, leaning over water: A novel in ten stories;Frances Itani;1998;HarperCollins
6385907;Leaning on the Wind: Under the Spell of the Great Chinook;Sid Marty;1997;HarperCollins Publishers
6385923;Stranded;Eric Walters;2000;HarperCollins Publishers
6385958;Coyotes Morning Cry;Sharon Butala;Unknown;Harperperennial
6386040;Rogue, Rebel, Mischievous Babe: A Survival Guide for Canadian Teen Girls;Sharlene Azam;2000;HarperCollins Publishers
6386075;Who Killed Canadian History?;J. L. Granatstein;2000;HarperCollins Publishers
6386369;Flowers on My Grave: How an Ojibwa Boy's Death Helped Break the Silence on Child Abuse;Ruth Teichroeb;1998;HarperCollins Publishers
6386512;How to Dump a Guy: A Coward's Manual;Kate Fillion;1997;Harpercollins Canada
6386601;Lip Service: The Truth About Women's Darker Side in Love, Sex and Friendship;Kate Fillion;1997;Harper Collins Canada
6386725;101 Unuseless Japanese Inventions;Kenji Kawakami;Unknown;Harper Collins Publishers
6388264;Biting the Bullet: Living With the Sas;Jenny Simpson;1996;Trafalgar Square
6388922;Brand Warriors;Fiona Gilmore;1999;HarperCollins Business
6391702;Tribes;Arthur G. Slade;2002;HarperCollins Canada
6391745;Live by Request;Rob Payne;2002;HarperFestival
6391893;Rebeccas Tale;Sally Beauman;2003;Augsburg Fortress Publishers
6391931;The Emily Carr Mystery;Eric Wilson;2001;HarperCollins Publishers
6392466;Working Class Zero;Rob Payne;2003;HarperCollins Canada
6392776;No Small Thing;Natale Ghent;2003;HarperCollins Canada
6470033;Stranger on Rhanna;Christine Marion Fraser;1993;Fontana
6470041;King's farewell;Christine Marion Fraser;1994;HarperCollins Publishers
6470173;The Pyrates;George MacDonald Fraser;1998;Trafalgar Square Publishing
6470599;The Road to Rowanbrae;Doris Davidson;1992;Fontana Press
6471641;To play the king;Michael Dobbs;1993;HarperCollins
6472079;New beginnings;Maisie Mosco;1992;Fontana
6472184;"Duncton Tales: Volume One of \the Book of Silence\""""";William Horwood;1992;Harpercollins
6472648;Child of the Phoenix;Barbara Erskine;1993;Acacia Press, Inc.
6473024;Duncton Rising (Book of Silence);William Horwood;1993;Harpercollins
6473369;Fallen Skies;Philippa Gregory;1994;HarperCollins
6474047;The Fourth Archangel: A Novel;Sharon Butala;1996;HarperCollins Publishers
6474292;Traveling Ladies;Janice Kulyk Keefer;Unknown;Harpercollins Publisher
6474950;Marine Life;Linda Svendsen;Unknown;Harpercollins Publisher
6475043;Sweetheart;Peter Mcgehee;Unknown;Harpercollins Publisher
6475205;Fiery Spirits: A Collection of Short Fiction and Poetry by Canadian Writers of African Descent;Ayanna Black;1995;Harpercollins
6475272;Fresh Girls and Other Stories;Evelyn Lau;Unknown;Harperperennial
6475329;Minus Time;Catherine Bush;Unknown;Harper Collins Publishers
6476325;Provo;Gordon Stevens;1994;HarperCollins Publishers
6476333;Scorpio Illusion Uk;Robert Ludlum;Unknown;Harpercollins Uk
6478824;Planning on Murder;David Williams;1994;HarperCollins Publishers
6479383;There Will Be Wolves;Karleen Bradford;1994;Harpercollins Canada
6479499;In the language of love : a novel in 100 chapters;Diane Schoemperlen;Unknown;HarperCollins
6479561;Sacred Clowns;Tony Hillerman;Unknown;Fairmount Books Ltd Remainders
6479626;Sweet Poison;Margaret Gibson;1995;Harpercollins
6479650;Thirteenth Child;Karleen Bradford;1995;Harpercollins Canada
6479839;"The LaVyrle Spencer Collection:  Three Classic Love Stories to Treasure (\Separate Beds\""";"\""Forsaking All Others\""";Unknown;"\""A Promise to Cherish\"")"""
6480500;"Dr. Kalbfleisch &amp; the Chicken Restaurant";Cordelia Strube;1997;Harpercollins Canada
6480551;Dust to Dust: Stories;Timothy Findley;1998;Harpercollins Canada
6480608;The Piano Man's Daughter;Timothy Findley;1997;Harpercollins Canada
6480764;Lost Girls;Andrew Pyper;Unknown;Harperperennial
6480837;Castle Tourmandyne;Monica Hughes;1996;Harpercollins Canada
6480853;Leave It to Me;Bharati Mukherjee;Unknown;Harpercollins Publisher
6480985;Teaching Pigs to Sing;Cordelia Strube;1997;HarperCollins Publishers
6481035;To All Appearances a Lady;Marilyn Bowering;Unknown;Harperperennial
6481078;A Year of Lesser: A Novel;David Bergen;1997;Harpercollins
6481221;Murder on the Canadian: A Tom Austen Mystery;Eric Wilson;1999;Harpercollins Canada
6481558;Forms of Devotion: Stories and Pictures;Diane Schoemperlen;1999;HarperCollins Canada
6481590;My Dog Pal (Wind at My Back, 3);Gail Hamilton;1997;HarperCollins Publishers
6481604;The Faces of Fear;Monica Hughes;1998;Hope Publishing Company (IL)
6481760;The Other Place;Monica Hughes;2000;HarperCollins Publishers
6481957;The Silas Stories;W.P. Kinsella;1998;HarperCollins Canada
6482236;Helliconia;Brian Aldiss;Unknown;Harpercollins Uk
6482678;The Road and the Hills (Walk in the Dark S.);Alison Spedding;1997;Voyager
6483801;Danny Yates Must Die;Stephen Walker;1999;Voyager
6485057;The Story Box;Monica Hughes;1999;HarperCollins Publishers
6485200;The Piano Man's Daughter;Timothy Findley;1999;Britnell Book Wholesalers
6485294;Minus Time;Catherine Bush;Unknown;Harpercollins Publisher
6485405;Luna;Sharon Butala;2000;HarperCollins Publishers
6485936;Dust;Arthur G. Slade;2001;HarperCollins Publishers
6490255;Quality time;Norma Curtis;1996;HarperCollins Publishers
6490603;James Cameron's Titanic;James Cameron;1997;Perennial Currents
6492126;A Day in the Life of Ireland: Photographed by 75 of the World's Leading Photojournalists on One Day, May 17, 1991 (Day in the Life);Collins Publishers;1995;Harpercollins
6492347;"Insights from the Outfield (Peanuts at Work &amp; Play)";Charles Schulz;1997;Harpercollins
6497683;The Pharmacist;Ingrid Noll;1999;HarperCollins
6497780;The Mingrelian Conspiracy (A Mamur Zapt Mystery);Michael Pearce;1999;Trafalgar Square Publishing
6497810;Kara's Game;Gordon Stevens;1996;HarperCollins
6497985;The Buddha of Brewer Street;Michael Dobbs;1998;Trafalgar Square Publishing
6497993;WHISPERS OF BETRAYAL;Michael Dobbs;2001;HarperCollins Publishers
6498000;Winston's War;Michael Dobbs;2003;HarperCollins
6498019;Turbulent Priests;Colin Bateman;2000;HarperCollins
6498035;Maid of the Mist;Colin Bateman;Unknown;Harpercollins
6498159;The Queen of Diamonds;Jean Plaidy;1998;HarperCollins
6498213;Day of Wrath;Daniel Easterman;1996;Acacia Press, Inc.
6498493;Rogue Lion Safaris;Simon Barnes;1998;HarperCollins
6498884;E.L.V.;Nick Nielsen;1998;Voyager
6499031;Red Gold;Furst;1999;Trafalgar Square Publishing
6499651;The Twilight Child;Elizabeth Harris;1998;HarperCollins
6510019;K;Daniel Easterman;1998;Acacia Press, Inc.
6510973;World At Night;Alan Furst;1998;Trafalgar Square
6511309;Night Soldiers;Furst;1998;Trafalgar Square
6511767;Virgin Earth;Philippa Gregory;Unknown;Harper Collins Publishers
6512062;Trials of Tiffany Trott;Isabel Wolff;1998;Harper Collins Publishers
6512143;Suicide Intended;David Williams;1999;HarperCollins Publishers
6512208;Lion Time Collected Stories 6;Robert Silverberg;Unknown;Firebird Distributing
6512674;Spares;Michael Marsh Smith;Unknown;Harper Collins Publishers
6512801;Prospero's Children;Jan Siegel;2000;Voyager
6513395;The Mastership Game;Scott McBain;2000;HarperCollins
6513409;The making of Minty Malone;Isabel Wolff;1999;HarperCollins
6513492;Off the Record;Sue Welfare;1999;HarperCollins UK
6513506;Moving on Up;Sue Welfare;2002;Trafalgar Square
6513549;The Money Makers;Harry Bingham;2000;Harpercollins Pub Ltd
6514162;An almost perfect moon;Jamie Holland;2001;HarperCollinsPublishers
6514278;The Coins of Judas;Scott McBain;2002;HarperCollins
6514480;FUTON FEVER;Dawn Anderson;2000;HarperCollins Publishers
6514588;Three wise men;Martina Devlin;2000;HarperCollins
6514952;Of Marriageable Age;Sharon Maas;2000;Harper Collins - UK
6530397;Windrush;Trevor Phillips;1999;HarperCollins
6530540;Blood Royal;John Pearson;2000;Trafalgar Square
6530826;Under The Dragon: Travels in Burma;Rory MacLean;1999;Trafalgar Square
6531113;Along the Wall and Watchtowers: A Journey Down Germany's Divide;Oliver August;2000;Flamingo
6531407;The Sas Survival Handbook: How to Survive in the Wild, in Any Climate, on Land or at Sea;John Wiseman;1999;HarperCollins Publishers
6531512;Waking Ned;Wendy Holden;1999;HarperCollins Entertainment
6531520;Redcoat;Richard Holmes;2002;HarperCollins
6532292;McQueen;Christopher Sandford;2002;HarperCollins Entertainment
6540031;New Worlds: An Anthology;Michael Moorcock;1983;HarperCollins Publishers
6540732;French;Theodore Zeldin;Unknown;Flamingo Agencies Ltd
6541038;Towards the End of the Morning (Flamingo Series);Michael Frayn;1985;HarperCollins Publishers
6541046;"CAPTAINS &amp; KINGS-JOHNSTON";Jennifer Johnston;1985;HarperCollins Publishers
6541224;The Fabulous Englishman;Robert McCrum;1985;HarperCollins Publishers
6541569;The Ambassador;Andre Brink;1986;HarperCollins Publishers
6541593;The Lover;Margarite Duras;Unknown;Fontana Paperbacks
6541690;Sweet Dreams (Flamingo);Michael Frayn;1986;HarperCollins Publishers
6541917;Burning Houses;Andrew Harvey;1987;HarperCollins Publishers
6542018;Love Is Blue: A Wartime Diary;Joan Wyndham;1987;HarperCollins Publishers
6542050;Ice and Fire;Andrea Dworkin;1987;HarperCollins Publishers
6542212;PERFECT ENGLISH;Paul Pickering;1987;HarperCollins Publishers
6542549;Human Voices;Penelope Fitzgerald;1997;Albert Britnell Book Shop
6542719;War and Peace in Milton Keynes;James Rogers;1988;HarperCollins Publishers
6542735;Indefinite Nights;Patricia Ferguson;1988;HarperCollins Publishers
6542778;Stephen and Violet;Susan Barrett;1989;HarperCollins Publishers
6542808;Silence of the Sirens;Adel Garcia Morales;Unknown;Flamingo
6543200;Deep Diving;Stephanie Conybeare;1989;HarperCollins Publishers
6543413;Uncommon Wisdom Conversations With Remar;Fritjof Capra;Unknown;Fontana Paperbacks
6543456;My Friend Matt and Hena the Whore;Adam Zameenzad;Unknown;Fontana Paperbacks
6543545;The bookshop;Penelope Fitzgerald;1989;Flamingo
6543588;Travels in Mauritania;Peter Hudson;1991;HarperCollins Publishers
6543677;Rich In Love;Josephine Humphreys;Unknown;Harpercollins Uk
6543901;A Sense of Touch;Christopher Osborn;1990;HarperCollins Publishers
6543936;Ordinary Love;Jane Smiley;Unknown;Flamingo
6544207;The Gate at the End of the World;Philip Glazebrook;1991;HarperCollins Publishers
6544738;Illuminations;Maureen Duffy;Unknown;Flamingo
6544959;Growing rich;Fay Weldon;1992;Flamingo
6545262;Winter in July;Doris May Lessing;1993;Flamingo
6545726;Searoad Chronicles of Klatsand;Ursula K. Le Guin;Unknown;Flamingo
6545904;Gods Pocket;Leon Dexter;Unknown;Harpercollins Uk
6546684;Postcards;E Annie Proulx;Unknown;Flamingo
6547168;Reality Is the Bug That Bit Me in the Galapagos;Charlotte DuCann;1994;Flamingo
6547230;Occam's razor;Maureen Duffy;1994;Flamingo
6547486;The Blessings Of A Good Thick Skirt: Women Travellers and Their World;Mary Russell;1994;Flamingo
6547516;Web of Life;Fritjof Capra;Unknown;Harpercollins Uk
6547613;Involved;Kate Oriordan;Unknown;Flamingo
6547745;From the Holy Mountain;William Dalrymple;1998;Flamingo
6547753;The Age of Kali;William Dalrymple;1999;Flamingo
6547834;Miss Smillas Feeling for Snow;Peter Hoeg;Unknown;Flamingo
6548040;Julip;Jim Harrison;Unknown;Flamingo
6548105;Past caring;Suzannah Dunn;1995;Flamingo
6548180;Cat among the pigeons: A Catholic miscellany;Alice Thomas Ellis;1994;Flamingo
6548253;Under My Skin Volume of My Autobiography;Doris Lessing;Unknown;Harper Collins Publishers
6548539;Legends of the Fall;Jim Harrison;Unknown;Harpercollins Uk
6548830;Information;Martin Amis;Unknown;Flamingo
6550061;Splitting;Fay Weldon;Unknown;Flamingo
6550193;The blue flower;Penelope Fitzgerald;1996;Flamingo
6550231;Statement;Brian Moore;Unknown;Flamingo
6550258;The Holy City - A Tale of Clydebank;Meg Henderson;1998;Trafalgar Square
6550266;Chasing Angels;Meg Henderson;2001;Trafalgar Square
6550401;Father's Music;Dermot Bolger;1998;Harpercollins Pub Ltd
6550576;Red Leaves;Paullina Simons;Unknown;Flamingo
6550649;Cocaine Nights;J G Ballard;Unknown;Flamingo
6550789;253;Geoff Ryman;Unknown;Flamingo
6550835;Mara and Dann;Doris Lessing;2000;Flamingo
6550878;Tenterhooks;Suzannah Dunn;1999;Acacia Press, Inc.
6550924;Seven Years In Tibet;Heinrich Harrer;Unknown;Flamingo
6551009;Among the Mountains: Travels through Asia;Wilfred Thesiger;2000;Flamingo
6551076;Ocean In Iowa;Peter Hedges;Unknown;Flamingo
6551289;Quantum Evolution;Johnjoe McFadden;2000;Flamingo
6551688;IS SHANE MACGOWAN STILL ALIVE?;Tim Bradford;2001;Flamingo
6551742;"The Accursed Mountains; Journeys in Albania";Robert Carver;1999;HarperCollins Publishers
6551785;All True Travels and Adventures of Lidie N;Jane Smiley;Unknown;Flamingo
6551823;MARBLE HEART;Gretta Mulrooney;2000;Herald Press (PA)
6551912;XCiTes: The Flamingo Book of New French Writing;Georgia De Chamberet;2000;Trafalgar Square
6551947;TWELVE;Vanessa Jones;2001;Trafalgar Square
6551971;Swimmer;Bill Broady;2003;Trafalgar Square
6552196;Resurrection Club;Christopher Wallace;2000;Flamingo
6552390;The Kindest Use a Knife;Vanessa Jones;2003;HarperCollins UK
6552447;The Last Wanderer;Meg Henderson;2003;Flamingo
6608345;Hilda Boswell's Treasury of Poetry;Hilda Boswell;1983;HarperCollins Publishers
6614000;Walt and Pepper (Picture Lions);Lisl Weil;1983;HarperCollins Publishers
6617999;Mog and the Baby;Judith Kerr;1982;HarperCollins Publishers
6618790;Mister Magnolia;Quentin Blake;1981;HarperCollins Publishers
6629954;The Wild;Bob Graham;1989;HarperCollins Publishers
6640621;Mog the Forgetful Cat;Judith Kerr;1991;HarperCollins Publishers
6640672;Spring Story (Brambly Hedge);Jill Barklem;1995;HarperCollins Publishers
6640680;Winter Story (Brambly Hedge);Jill Barklem;1995;HarperCollins Publishers
6641962;Mog and Barnaby (Picture Lions);Judith Kerr;1992;HarperCollins Publishers
6642004;Life with Loopy;Libby Butterworth;1993;HarperCollins Publishers
6642128;Nigel's Night Out;Donni Carter;1992;HarperCollins Publishers
6643094;Carrot Tops and Cottontails;Jan Mark;1994;HarperCollins Publishers
6645097;A Goodnight Kind of Feeling;Tony Bradman;1998;Picture Lions
6646093;The Wild Wood (Wind in the Willows);Kenneth Grahame;1996;HarperCollins Publishers
6705286;BORN FREE - LION EDITION: The Story of Elsa;Joy Adamson;1983;HarperCollins Publishers
6705294;Living Free: Elsa and Her Cubs;Joy Adamson;1979;HarperCollins Publishers
6709931;"The Tree That Sat Down: Part 1 of \The Magic Woodland Trilogy\"" (Lions)""";Beverley Nichols;1985;HarperCollins Publishers
6710263;The Magic Woodland Trilogy: The Stream That Stood Still (Lions);Beverley Nichols;1984;HarperCollins Publishers
6711146;Ballet Shoes for Anna;Noel Streatfeild;1985;HarperCollins Publishers
6711286;Castle of Llyr;A. Lloyd;1983;HarperCollins Publishers
6712185;The Talking Parcel (Lions);Gerald Durrell;1989;HarperCollins Publishers
6713203;The Demon Bike Rider;Robert Leeson;1986;HarperCollins Publishers
6713602;The Donkey Rustlers (Lions);Gerald Durrell;1989;HarperCollins Publishers
6714994;The High King;Lloyd Alexander;1979;HarperCollins Publishers
6715184;My Mate Shofiq (Lions);Jan Needle;1983;HarperCollins Publishers
6716032;The Aimer Gate (Fontana Lions);Alan Garner;1979;HarperCollins Publishers
6716067;Harold and Bella, Jammy and Me (Lions);Robert Leeson;1986;HarperCollins Publishers
6716652;Voyage of the Dawn Treader;C S Lewis;Unknown;Fairmount Books Ltd Remainders
6717047;A Small Person Far Away;Judith Kerr;1993;HarperCollins Publishers
6717837;It's My Life (Tracks);Robert Leeson;1982;HarperCollins Publishers
6718124;Grange Hill Goes Wild (Lions);Robert Leeson;1980;HarperCollins Publishers
6719007;Albeson and the Germans;Jan Needle;1985;HarperCollins Publishers
6719465;Grey Dancer;Alison Fell;Unknown;Fontana/ Collin
6719619;Charley (Lions);Joan G. Robinson;1984;HarperCollins Publishers
6720307;GO WELL STAY WELL;Toeckey Jones;1982;HarperCollins Publishers
6721397;Piggy in the Middle;Jan Needle;1985;HarperCollins Publishers
6722946;Genie on the Loose;Robert Leeson;1984;HarperCollins Publishers
6722970;Hanging Out with Cici;Francine Pascal;1986;HarperCollins Publishers
6723845;Flossie Teacake - Again!;Hunter Davies;1985;HarperCollins Publishers
6723977;The Green Behind the Glass: Love Stories;Adele Geras;1989;HarperCollins Publishers
6724361;The Inflatable Shop;Willis Hall;1986;HarperCollins Publishers
6725813;Badger On the Barge and Other Stories;Janni Howker;Unknown;Fontana/ Collin
6726143;Dragon Days;Willis Hall;1987;HarperCollins Publishers
6726917;More to Life Than Mr Right;Rosemary Stones;1987;HarperCollins Publishers
6727492;Berry Moon;Will Gatti;1988;HarperCollins Publishers
6728537;The Warriors of Taan;Louise Lawrence;1988;HarperCollins Publishers
6728774;Bury the Dead;Peter Carter;1989;HarperCollins Publishers
6728790;The Girls in the Velvet Frame;Adele Geras;1988;HarperCollins Publishers
6729835;The Callender Papers;Cynthia Voight;1989;HarperCollins Publishers
6733735;The Cool Boffin;Pete Johnson;1989;HarperCollins Publishers
6735819;The Power of Stars;Louise Lawrence;1990;HarperCollins Publishers
6742106;The Falcon's Malteser: Starring the Famous Diamond Brothers;Anthony Horowitz;1991;HarperCollins Publishers
6742912;Elidor;Alan Garner;1999;Collins
6742939;The Weirdstone of Brisingamen;Alan Garner;1992;Collins
6742947;The Owl Service;Alan Garner;1997;Collins
6742955;Red Shift;Alan Garner;1999;Collins
6743242;Speedy Fred;Josephine Haworth;1991;HarperCollins Publishers
6743773;Vlad the Drac Goes Travelling;Ann Jungman;1994;HarperCollins Publishers
6746233;Beyond the Rainbow;Christine Marion Fraser;1994;HarperCollins Publishers
6746624;The Staple Street Gang: Ian and the Stripey Bath Plug (The Staple Street Gang);Vivian French;1993;HarperCollins Publishers
6747388;The Secret of Hunter's Keep (House of Secrets);Joyce Stranger;1993;HarperCollins Publishers
6747663;A Fear of Heights (The Shouting Wind Trilogy);Linda Newbery;1996;HarperCollins Publishers
6747957;Coming Down to Earth;Susan Price;1994;HarperCollins Publishers
6748147;The Bottle Boy;Stephen Elboz;1995;HarperCollins Publishers
6749135;My Granny Is a Sumo Wrestler (Young Lion Poetry Books);Gareth Owen;1994;HarperCollins Publishers
6749143;The Trap (Nightmares);Cynthia Blair;1994;HarperCollins Publishers
6749151;The Beast Is Waiting for You (Nightmares);Cynthia Blair;1994;HarperCollins Publishers
6749291;Blood Brothers (Nightmares);M.C. Summer;1994;HarperCollins Publishers
6750222;Journey Through Llandor;Louise Lawrence;1996;HarperCollins Publishers
6750494;Zodiacs: Taurus: Black Out (Zodiac);Jahnna N. Malcolm;1995;HarperCollins Publishers
6751032;The Butterfly Lion;Michael Morpurgo;1996;Collins
6751180;The Road to Irriyan (Llandor Trilogy);Louise Lawrence;1996;HarperCollins Publishers
6751229;The Year of the Cat: the Trilogy: The Dream / The Hunt / The Amulet (Nightmares);Zoe Daniels;1995;HarperCollins Publishers
6751350;Starring Alice Mackenzie;Narinder Dhami;1996;HarperCollins Publishers
6751504;The Secret Life of Sally Tomato;Jean Ure;2001;Collins
6751687;Shadow of Mordican (Llandor Trilogy);Louise Lawrence;1997;HarperCollins Publishers
6752225;City Hospital: Stress (City Hospital);Keith Miles;1996;HarperCollins Publishers
6752586;Guinea Pigs on the Go (Collins Yellow Storybooks);Vivian French;1998;Collins
6754376;...and Conflict (Sugar Secrets S.);Mel Sparke;2000;Collins
6754864;Flying High (Angels Unlimited S.);Annie Dalton;2001;Collins
6754872;Calling the Shots (Angels Unlimited S.);Annie Dalton;2002;Collins
6860524;The Rise and Fall of the Great Powers: Economic Change and Military Conflict from 1500 to 2000;Paul Kennedy;Unknown;Harper Collins Publishers
6860982;Ireland's Civil War;Calton Younger;1986;HarperCollins Publishers
6861296;The Fontana Dictionary of Modern Thought;Alan Bullock;1988;Fontana Press
6862926;Black ivory: A history of British slavery;James Walvin;1992;Fontana Press
6863051;"PsychoDarwinism: The new synthesis of Darwin &amp; Freud";C. R Badcock;1995;Flamingo
6907423;A Rebel at the Chalet School (The Chalet School Series);Elinor Brent-Dyer;2000;Trafalgar Square Books
6908896;Alfred Hitchcock and the Three Investigators in The Mystery of the Coughing Dragon;Nick West;1978;HarperCollins Publishers
6909159;Make Your Own Presents;Hal Danby;1980;HarperCollins Publishers
6913822;The Fourth Armada Monster Book;R. Chetwynd-Hayes;1979;HarperCollins Publishers
6913881;Clue Crumbling Wall Nd 18;KEENE Caroly;1978;HarperCollins Publishers
6915612;Three Go to the Chalet School (The Chalet School Series);Elinor Brent-Dyer;2000;HarperCollins UK
6915728;The Flickering Torch Mystery (The Hardy Boys);Franklin W. Dixon;1986;HarperCollins Publishers
6915752;The Clue of the Black Keys (Nancy Drew Mystery Stories);Carolyn Keene;1982;HarperCollins Publishers
6916147;Fun to Know About Ghosts;Sean Richards;1979;HarperCollins Publishers
6917348;Myst Dancing De Ah25 3in;William Arden;1980;HarperCollins Publishers
6917437;Anyone Can Draw (An Armada Original);Albert Murfy;1987;HarperCollins Publishers
6922007;The Beggar's Curse;Ann Pilling;1984;HarperCollins Publishers
6922066;The Secret of the Golden Pavilion (Nancy Drew Mysteries);Carolyn Keene;1983;HarperCollins Publishers
6922856;The Bytes Brothers Program a Problem: A Solve-it-yourself Computer Mystery (An Armada Original);Lois McCoy;1983;HarperCollins Publishers
6923119;The Clue of the Velvet Mask (Nancy Drew Mysteries);Carolyn Keene;1985;HarperCollins Publishers
6923135;Secret Garden;Frances Hodgson Burnett;1988;HarperCollins Publishers
6923690;The Magic Circle (The Three Investigators Mysteries);Elinor M. Brent-Dyer;1984;HarperCollins Publishers
6924034;Grail Quest.Bk.3: Gateway of Doom;J.H. Brennan;1984;HarperCollins Publishers
6924581;The Witch of Lagg;Ann Pilling;1985;HarperCollins Publishers
6924875;Sacred Feather;Frances K. Judd;1985;HarperCollins Publishers
6925073;The Chalet School Wins the Trick (The Chalet School);Elinor M. Brent-Dyer;1985;HarperCollins Publishers
6925200;The Clue in the Old Stagecoach (The Nancy Drew Mysteries);Carolyn Keene;1988;HarperCollins Publishers
6925596;Adventures on Willow Farm;Enid Blyton;1989;HarperCollins Publishers
6925979;The Spider Sapphire Mystery (The Nancy Drew Mysteries);Carolyn Keene;1985;HarperCollins Publishers
6926576;Grail Quest: Bk.7: Tomb of Nightmares (A Solo Fantasy Gamebook);J. H. Brennan;1986;HarperCollins Publishers
6928110;The Double Jinx Mystery (The Nancy Drew Mysteries);Carolyn Keene;1987;HarperCollins Publishers
6928137;Secret of Forgotten City (Nancy Drew Mysteries);Carolyn Keene;1987;HarperCollins Publishers
6928145;The Strange Message in the Parchment (The Nancy Drew Mysteries);Carolyn Keene;1988;HarperCollins Publishers
6928323;A Figure in Hiding (The Hardy Boys);Franklin W. Dixon;1989;HarperCollins Publishers
6929575;Bev;Keith Miles;1989;HarperCollins Publishers
6930131;Silver Brumby's Daughter;Elyne Mitchell;1988;HarperCollins Publishers
6930387;Secret Persuader;Pamela Oldfield;1989;HarperCollins Publishers
6930409;Media Crew 2: Partners and Runaways;Stephen Babley;1989;HarperCollins Publishers
6930778;Christmas Crackers 2: A Further Collection of Zany Jokes, Puzzles and Riddles;Jonathan Clements;1988;HarperCollins Publishers
6931820;First Term at Malory Towers;Enid Blyton;1988;HarperCollins Publishers
6931960;The Mystery of the Secret Room (The 5 Find-outers);Enid Blyton;1988;HarperCollins Publishers
6932126;Katy 3 -in- 1: What Katy Did, What Katy Did at School, What Katy Did Next;Susan Coolidge;1988;HarperCollins Publishers
6932495;Hard and Fast;Linda Newberry;1990;HarperCollins Publishers
6932649;Snapshot;Andrew Taylor;1989;HarperCollins Publishers
6932665;Is There Anybody There? Spirit Raising;Jacqueline Wilson;1990;HarperCollins Publishers
6932991;The Silver Brumby;Elyne Mitchell;1988;Word Entertainment Music
6934854;The Sign of the Twisted Candles (Nancy Drew);Carolyn Keene;1991;HarperCollins Publishers
6935192;The Phantom Major;Virginia Cowles;1989;HarperCollins Publishers
6936644;Double Exposure;Andrew Taylor;1990;HarperCollins Publishers
6940862;A Pony to Jump (Kestrels);Patricia Leitch;1992;HarperCollins Publishers
6940889;My Teacher Flunked the Planet;Bruce Coville;1992;HarperCollins Publishers
6941575;The Runaway (The Animal Sanctuary Trilogy);Joyce Stranger;1992;HarperCollins Publishers
6944035;Secret Island / Secret Mountain (Two-in-ones);Enid Blyton;1994;HarperCollins Publishers
7100108;The Squirrel, the Hare and the Little Grey Rabbit (The Tales of Little Grey Rabbit);Alison Uttley;2000;Picture Lions
7100221;TERROR FIRMA;Matthew Thomas;2001;Trafalgar Square
7100353;The Positive Woman;Gael Lindenfield;2001;Thorsons Publishers
7100418;Squirrel Goes Skating (The Tales of Little Grey Rabbit);Alison Uttley;2001;Picture Lions
7100787;Transform Your Life: 10 Steps to Real Results;Carole Gaskell;2001;Thorsons Publishers
7100914;Five Photos of My Wife;Agnes Desarthe;2001;Flamingo
7100922;Five Photos of My Wife;Agnes Desarthe;2001;Flamingo
